#separator:tab
#notetype:cubingalg+
#deck:Cubing::NxNxN::Parities and Edge Pairing
<img src="4x4x4 Edge Pairing.svg">	4x4x4 Edge Pairing	u' R F' U R' F u	4x4x4 EdgePairing
<img src="4x4x4 PLL Parity.svg">	4x4x4 PLL Parity	2R2 U2 2R2 u2 2R2 2U2	4x4x4 PLL parity
<img src="4x4x4 OLL Parity.svg">	4x4x4 OLL Parity	r U2 x r U2 r U2 r' U2 l U2 r' U2 r U2 r' U2 r'	4x4x4 OLL parity
<img src="5x5x5 Parity.svg">	5x5x5 Parity	r2 B2 U2 l U2 r' U2 r U2 F2 r F2 l' B2 r2	5x5x5 parity
<img src="5x5x5 Edge Pairing 1.svg">	5x5x5 Edge Pairing 1	u' R F' U R' F u	5x5x5 EdgePairing
<img src="5x5x5 Edge Pairing 2.svg">	5x5x5 Edge Pairing 2	u' R F' U R' F u	5x5x5 EdgePairing
<img src="5x5x5 Edge Pairing 3.svg">	5x5x5 Edge Pairing 3	d R F' U R' F d'	5x5x5 EdgePairing
<img src="5x5x5 Edge Pairing 4.svg">	5x5x5 Edge Pairing 4	d R F' U R' F d'	5x5x5 EdgePairing
<img src="5x5x5 Edge Flipping.svg">	5x5x5 Edge Flipping	(R U R') (F R' F' R)	5x5x5 EdgePairing
